,College_ID,Research Level,Competency,constructive_type_abv,scholarly_project,HDR_option,HDR_option_avail,Repeated_learning_YES_ID,Compulsory_YES_ID,project_category_ID,RPL,LEARNINGA_research_training,LEARNINGA_experienced_supervisor,LEARNINGA_experienced_supervisor_ID,activity_type
45,38,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
46,38,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or other ORAL report
47,38,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Conference presentation - ORAL
48,38,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Publication - FIRST author
50,38,Using,Applying,Assessment,False,False,False,2 - No,1 - Yes,,False,False,False,,Written exam
51,37,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Proposal - WRITTEN
52,37,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Publication - FIRST or SECOND author
53,37,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Conference presentation - ORAL
54,37,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Conference presentation - POSTER
55,37,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Progress report - WRITTEN
57,36,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Publication - ANY author
58,36,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
59,36,Leading,Creating,Assessment,True,False,False,1 - Yes,2 - No,1 - Only option,False,False,False,,Progress report - WRITTEN
61,40,Using,Evaluating,Assessment,False,False,False,1 - Yes,1 - Yes,,False,False,False,,OTHER written report
62,40,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Publication - FIRST or SECOND author
63,40,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Conference presentation - ORAL
64,40,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Proposal - WRITTEN
65,40,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Progress report - WRITTEN
66,40,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
67,41,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,3 - Points based system,False,False,False,,Publication - FIRST author
68,41,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,3 - Points based system,False,False,False,,Conference presentation - ORAL
70,41,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,3 - Points based system,False,False,False,,Conference presentation - ORAL
71,42,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Conference presentation - ORAL
72,42,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Conference presentation - POSTER
73,42,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Publication - FIRST author
74,43,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,3 - Points based system,False,False,False,,Conference presentation - ORAL
75,43,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,3 - Points based system,False,False,False,,Publication - ANY author
76,43,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,3 - Points based system,False,False,False,,Conference presentation - POSTER
77,39,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Publication - FIRST author
78,39,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Progress report - WRITTEN
79,39,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Proposal - WRITTEN
80,42,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Thesis or research-style WRITTEN report
81,2,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Publication - FIRST author
82,2,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Conference presentation - ORAL
83,2,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Conference presentation - POSTER
85,2,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,2 - Options based system,True,False,False,2 - Supervisor required but no details given,Scholalry Project
86,2,Leading,Creating,Activity,False,False,False,2 - No,1 - Yes,2 - Options based system,False,True,True,,Formal trainee education and training - UNIVERSITY
88,2,Using,Analysing,Objective,False,False,False,,,,False,False,False,,
89,2,Using,Analysing,Objective,False,False,False,,,,False,False,False,,
90,2,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
91,2,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
92,2,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
93,2,Using,Applying,Objective,False,False,False,,,,False,False,False,,
94,2,Using,Applying,Objective,False,False,False,,,,False,False,False,,
95,2,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
96,2,Using,Applying,Objective,False,False,False,,,,False,False,False,,
97,2,Using,Analysing,Objective,False,False,False,,,,False,False,False,,
98,2,Leading,Understanding,Objective,False,False,False,,,,False,False,False,,
99,2,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
100,2,Participating,Understanding,Objective,False,False,False,,,,False,False,False,,
101,2,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
102,2,Participating,Understanding,Objective,False,False,False,,,,False,False,False,,
103,2,Participating,Understanding,Objective,False,False,False,,,,False,False,False,,
104,2,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
105,2,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
106,2,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
107,2,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
108,2,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
109,2,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
110,2,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
111,2,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
112,2,Using,Creating,Objective,False,False,False,,,,False,False,False,,
113,2,Using,Creating,Objective,False,False,False,,,,False,False,False,,
114,2,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
115,2,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
116,2,Leading,Applying,Objective,False,False,False,,,,False,False,False,,
117,2,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
118,2,Leading,Evaluating,Objective,False,False,False,,,,False,False,False,,
119,45,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,3 - Points based system,False,False,False,,Publication - FIRST author
121,45,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,3 - Points based system,False,False,False,,Conference presentation - POSTER
122,45,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,3 - Points based system,False,False,False,,Conference presentation - ORAL
125,45,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,3 - Points based system,False,False,False,2 - Supervisor required but no details given,Scholalry Project
126,45,Leading,Understanding,Activity,False,False,False,1 - Yes,2 - No,1 - Only option,False,True,False,,Formal trainee education and training - COLLEGE
127,45,Using,Understanding,Activity,False,False,False,2 - No,1 - Yes,3 - Points based system,False,True,False,,Formal trainee education and training - COLLEGE
129,45,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
130,45,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
132,45,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
133,45,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
134,45,Using,Applying,Objective,False,False,False,,,,False,False,False,,
135,45,Using,Applying,Objective,False,False,False,,,,False,False,False,,
136,45,Using,Creating,Objective,False,False,False,,,,False,False,False,,
137,45,Using,Applying,Objective,False,False,False,,,,False,False,False,,
138,45,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
139,45,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
140,45,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
141,45,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
142,45,Using,Creating,Objective,False,False,False,,,,False,False,False,,
143,45,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
144,45,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
145,39,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,False,2 - Supervisor required but no details given,Scholalry Project
148,2,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
150,3,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
151,3,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
152,3,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
153,3,Leading,Understanding,Objective,False,False,False,,,,False,False,False,,
154,3,Leading,Understanding,Objective,False,False,False,,,,False,False,False,,
155,3,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
156,3,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
157,3,Leading,Understanding,Objective,False,False,False,,,,False,False,False,,
159,3,Using,Evaluating,Assessment,False,False,False,2 - No,1 - Yes,,False,False,False,,Oral presentation - OTHER
160,3,Using,Creating,Assessment,False,False,False,2 - No,1 - Yes,,False,False,False,,Oral presentation - OTHER
161,3,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
162,2,Using,Remembering,Objective,False,False,False,,,,False,False,False,,
163,5,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
164,5,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
165,5,Using,Analysing,Objective,False,False,False,,,,False,False,False,,
166,5,Using,Applying,Objective,False,False,False,,,,False,False,False,,
167,5,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
168,5,Leading,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,1 - Only option,False,True,False,,Formal trainee education and training - UNIVERSITY
169,5,Leading,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,1 - Only option,False,True,False,,Formal trainee education and training - COLLEGE
170,5,Leading,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,1 - Only option,False,True,False,,Formal trainee education and training - COLLEGE
171,5,Using,Remembering,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Conference Attendence
179,7,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
180,7,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
181,7,Using,Applying,Objective,False,False,False,,,,False,False,False,,
182,7,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
183,7,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
184,7,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
185,7,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
186,7,Using,Creating,Objective,False,False,False,,,,False,False,False,,
207,9,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
209,10,Using,Creating,Objective,False,False,False,,,,False,False,False,,
211,8,Using,Creating,Objective,False,False,False,,,,False,False,False,,
214,11,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
215,11,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
216,12,Leading,Remembering,Objective,False,False,False,,,,False,False,False,,
217,12,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
218,12,Using,Creating,Objective,False,False,False,,,,False,False,False,,
219,12,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
220,12,Using,Analysing,Objective,False,False,False,,,,False,False,False,,
221,12,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
226,15,Using,Creating,Objective,False,False,False,,,,False,False,False,,
227,15,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
229,15,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
230,15,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
231,15,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
233,15,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
236,16,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
237,17,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
239,17,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
242,18,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
246,19,Using,Creating,Objective,False,False,False,,,,False,False,False,,
248,19,Using,Applying,Objective,False,False,False,,,,False,False,False,,
249,19,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
250,19,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
251,19,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
252,19,Using,Creating,Objective,False,False,False,,,,False,False,False,,
253,19,Using,Creating,Objective,False,False,False,,,,False,False,False,,
254,19,Leading,Evaluating,Objective,False,False,False,,,,False,False,False,,
255,19,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
256,20,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
257,21,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
263,21,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
265,22,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
266,22,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
267,24,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
276,23,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
277,23,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
280,27,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
281,27,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
282,27,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
283,27,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
284,27,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
285,27,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
286,27,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
287,27,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
288,27,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
289,27,Using,Applying,Objective,False,False,False,,,,False,False,False,,
290,27,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
291,27,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
293,28,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
294,28,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
299,28,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
301,28,Using,Remembering,Objective,False,False,False,,,,False,False,False,,
303,28,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
304,28,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
307,32,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
309,32,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
310,32,Using,Analysing,Objective,False,False,False,,,,False,False,False,,
311,30,Using,Creating,Objective,False,False,False,,,,False,False,False,,
312,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
313,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
314,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
315,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
316,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
317,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
318,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
319,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
320,30,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
321,30,Using,Creating,Objective,False,False,False,,,,False,False,False,,
322,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
323,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
324,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
325,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
326,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
330,30,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
332,30,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
333,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
334,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
336,33,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
337,33,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
338,33,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
339,33,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
340,33,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
342,33,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
343,33,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
344,33,Using,Applying,Objective,False,False,False,,,,False,False,False,,
345,33,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
346,33,Using,Applying,Objective,False,False,False,,,,False,False,False,,
347,33,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
348,33,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
349,34,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
350,34,Using,Applying,Objective,False,False,False,,,,False,False,False,,
353,35,Participating,Understanding,Objective,False,False,False,,,,False,False,False,,
354,35,Using,Remembering,Objective,False,False,False,,,,False,False,False,,
355,35,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
356,35,Participating,Understanding,Objective,False,False,False,,,,False,False,False,,
357,35,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
359,35,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
366,7,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
369,9,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
370,10,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
371,8,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
372,12,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
373,12,Using,Remembering,Activity,False,False,False,3 - Not specified,3 - Not specified,,False,False,False,,Conference Attendence
374,13,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
375,14,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
376,14,Leading,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
377,15,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
378,15,Leading,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,True,False,False,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
379,16,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
380,16,Using,Remembering,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Conference Attendence
381,17,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
385,19,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
386,20,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
387,21,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
388,22,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
389,22,Leading,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,True,False,False,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
390,24,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
391,24,Leading,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
392,25,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
393,23,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
394,23,Leading,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
396,26,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
397,27,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
398,27,Using,Understanding,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Conference Attendence
399,28,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
400,31,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
401,32,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
402,29,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
403,30,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
404,33,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
405,33,Using,Remembering,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Conference Attendence
406,34,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
407,34,Using,Remembering,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Conference Attendence
408,35,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
424,7,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
425,7,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
426,7,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
427,7,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
428,6,Participating,Creating,Assessment,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Supervisor report
429,9,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
430,9,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
431,9,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
432,9,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
